sentence,label
"She will finish her homework tonight.",2
"They will watch a movie next weekend.",2
"We will visit the museum next month.",2
"He will cook dinner tomorrow evening.",2
"The kids will play in the park tomorrow.",2
"She will write a letter next week.",2
"They will travel to Paris next summer.",2
"I will find my keys tomorrow.",2
"He will paint the house next year.",2
"The teacher will explain the lesson tomorrow.",2
"We will have a great time at the party next Saturday.",2
"I will meet her at the airport next Friday.",2
"She will run five miles tomorrow.",2
"They will celebrate their anniversary next month.",2
"He will fix the car next weekend.",2
"We will eat at a new restaurant next night.",2
"She will read a fascinating book next week.",2
"I will visit my grandparents next summer.",2
"They will graduate from college next year.",2
"He will buy a new phone next month.",2
"We will go hiking next Saturday.",2
"She will clean the house next Wednesday.",2
"They will attend a concert next night.",2
"He will make a cake for her birthday next week.",2
"I will watch a documentary tomorrow.",2
"She will get a promotion next month.",2
"They will have lunch together next Friday.",2
"He will learn to swim next summer.",2
"We will stay at a cozy cabin next winter.",2
"She will have a great time at the conference next year.",2
"They will explore the city next weekend.",2
"He will write a novel next year.",2
"We will have a barbecue next Saturday.",2
"She will visit her cousin next month.",2
"They will watch the stars next night.",2
"He will organize a charity event next year.",2
"We will play board games next Sunday.",2
"She will attend a workshop next week.",2
"They will spend the day at the beach next summer.",2
"He will build a treehouse next fall.",2
"I will watch a movie with friends next week.",2
"She will attend a wedding next weekend.",2
"They will enjoy a weekend getaway next month.",2
"He will repair the bike next Sunday.",2
"We will celebrate New Year's Eve next year.",2
"She will complete her project tonight.",2
"They will travel to Italy next spring.",2
"He will take a cooking class next summer.",2
"I will meet a celebrity next week.",2
"Je suis allé au magasin hier.",0
"Elle avait fini ses devoirs hier soir.",0
"Ils ont vu un film le week-end dernier.",0
"Nous avons visité le musée le mois dernier.",0
"Il a préparé le dîner hier soir.",0
"Les enfants ont joué au parc hier.",0
"Elle a écrit une lettre la semaine dernière.",0
"Ils ont voyagé à Paris l'été dernier.",0
"J'ai perdu mes clés hier.",0
"Il a peint la maison l'année dernière.",0
"Le professeur a expliqué la leçon hier.",0
"Nous avons passé un bon moment à la fête hier soir.",0
"Je l'ai rencontrée à l'aéroport vendredi dernier.",0
"Elle a couru cinq kilomètres hier.",0
"Ils ont célébré leur anniversaire le mois dernier.",0
"Il a réparé la voiture le week-end dernier.",0
"Nous avons dîné dans un nouveau restaurant hier soir.",0
"Elle a lu un livre fascinant la semaine dernière.",0
"J'ai rendu visite à mes grands-parents l'été dernier.",0
"Ils ont obtenu leur diplôme l'année dernière.",0
"Il a acheté un nouveau téléphone le mois dernier.",0
"Nous sommes allés en randonnée samedi dernier.",0
"Elle a nettoyé la maison mercredi dernier.",0
"Ils ont assisté à un concert hier soir.",0
"Il a fait un gâteau pour son anniversaire la semaine dernière.",0
"J'ai regardé un documentaire hier.",0
"Elle a eu une promotion le mois dernier.",0
"Ils ont déjeuné ensemble vendredi dernier.",0
"Il a appris à nager l'été dernier.",0
"Nous avons séjourné dans un chalet douillet cet hiver.",0
"Elle a passé un bon moment à la conférence l'année dernière.",0
"Ils ont exploré la ville le week-end dernier.",0
"Il a écrit un roman l'année dernière.",0
"Nous avons organisé un barbecue samedi dernier.",0
"Elle a rendu visite à sa cousine le mois dernier.",0
"Ils ont vu une étoile filante hier soir.",0
"Il a organisé un événement caritatif l'année dernière.",0
"Nous avons joué à des jeux de société dimanche dernier.",0
"Elle a assisté à un atelier la semaine dernière.",0
"Ils ont passé la journée à la plage l'été dernier.",0
"Il a construit une cabane dans les arbres l'automne dernier.",0
"J'ai regardé un film avec des amis la semaine dernière.",0
"Elle a assisté à un mariage le week-end dernier.",0
"Ils ont apprécié une escapade de week-end le mois dernier.",0
"Il a réparé le vélo dimanche dernier.",0
"Nous avons célébré le réveillon du Nouvel An l'année dernière.",0
"Elle a terminé son projet hier soir.",0
"Ils ont voyagé en Italie au printemps dernier.",0
"Il a suivi un cours de cuisine l'été dernier.",0
"J'ai rencontré une célébrité la semaine dernière.",0
"Je marche au magasin maintenant.",1
"Elle est en train de terminer ses devoirs.",1
"Ils regardent un film.",1
"Nous visitons le musée aujourd'hui.",1
"Il est en train de préparer le dîner.",1
"Les enfants jouent au parc.",1
"Elle est en train d'écrire une lettre.",1
"Ils voyagent à Paris.",1
"Je cherche mes clés.",1
"Il est en train de peindre la maison.",1
"Le professeur explique la leçon.",1
"Nous passons un bon moment à la fête.",1
"Je rencontre quelqu'un à l'aéroport.",1
"Elle court cinq kilomètres.",1
"Ils célèbrent leur anniversaire.",1
"Il est en train de réparer la voiture.",1
"Nous dînons dans un nouveau restaurant.",1
"Elle est en train de lire un livre fascinant.",1
"Je rends visite à mes grands-parents.",1
"Ils obtiennent leur diplôme.",1
"Il achète un nouveau téléphone.",1
"Nous partons en randonnée.",1
"Elle est en train de nettoyer la maison.",1
"Ils assistent à un concert.",1
"Il prépare un gâteau.",1
"Je regarde un documentaire.",1
"Elle obtient une promotion.",1
"Ils déjeunent ensemble.",1
"Il apprend à nager.",1
"Nous séjournons dans un chalet douillet.",1
"Elle passe un bon moment à la conférence.",1
"Ils explorent la ville.",1
"Il écrit un roman.",1
"Nous organisons un barbecue.",1
"Elle rend visite à sa cousine.",1
"Ils regardent les étoiles.",1
"Il organise un événement caritatif.",1
"Nous jouons à des jeux de société.",1
"Elle assiste à un atelier.",1
"Ils passent la journée à la plage.",1
"Il construit une cabane dans les arbres.",1
"Je regarde un film avec des amis.",1
"Elle assiste à un mariage.",1
"Ils apprécient une escapade de week-end.",1
"Il répare le vélo.",1
"Nous célébrons le réveillon du Nouvel An.",1
"Elle termine son projet.",1
"Ils voyagent en Italie.",1
"Il suit un cours de cuisine.",1
"Je rencontre une célébrité.",1
"Je marcherai au magasin demain.",2
"Elle finira ses devoirs ce soir.",2
"Ils regarderont un film le week-end prochain.",2
"Nous visiterons le musée le mois prochain.",2
"Il préparera le dîner demain soir.",2
"Les enfants joueront au parc demain.",2
"Elle écrira une lettre la semaine prochaine.",2
"Ils voyageront à Paris l'été prochain.",2
"Je retrouverai mes clés demain.",2
"Il peindra la maison l'année prochaine.",2
"Le professeur expliquera la leçon demain.",2
"Nous passerons un bon moment à la fête samedi prochain.",2
"Je rencontrerai quelqu'un à l'aéroport vendredi prochain.",2
"Elle courra cinq kilomètres demain.",2
"Ils célébreront leur anniversaire le mois prochain.",2
"Il réparera la voiture le week-end prochain.",2
"Nous dînerons dans un nouveau restaurant la nuit prochaine.",2
"Elle lira un livre fascinant la semaine prochaine.",2
"Je rendrai visite à mes grands-parents l'été prochain.",2
"Ils obtiendront leur diplôme l'année prochaine.",2
"Il achètera un nouveau téléphone le mois prochain.",2
"Nous partirons en randonnée samedi prochain.",2
"Elle nettoiera la maison mercredi prochain.",2
"Ils assisteront à un concert la nuit prochaine.",2
"Il fera un gâteau pour son anniversaire la semaine prochaine.",2
"Je regarderai un documentaire demain.",2
"Elle obtiendra une promotion le mois prochain.",2
"Ils déjeuneront ensemble vendredi prochain.",2
"Il apprendra à nager l'été prochain.",2
"Nous séjournerons dans un chalet douillet l'hiver prochain.",2
"Elle passera un bon moment à la conférence l'année prochaine.",2
"Ils exploreront la ville le week-end prochain.",2
"Il écrira un roman l'année prochaine.",2
"Nous organiserons un barbecue samedi prochain.",2
"Elle rendra visite à sa cousine le mois prochain.",2
"Ils regarderont les étoiles la nuit prochaine.",2
"Il organisera un événement caritatif l'année prochaine.",2
"Nous jouerons à des jeux de société dimanche prochain.",2
"Elle assistera à un atelier la semaine prochaine.",2
"Ils passeront la journée à la plage l'été prochain.",2
"Il construira une cabane dans les arbres l'automne prochain.",2
"Je regarderai un film avec des amis la semaine prochaine.",2
"Elle assistera à un mariage le week-end prochain.",2
"Ils apprécieront une escapade de week-end le mois prochain.",2
"Il réparera le vélo dimanche prochain.",2
"Nous célébrerons le réveillon du Nouvel An l'année prochaine.",2
"Elle complétera son projet ce soir.",2
"Ils voyageront en Italie au printemps prochain.",2
"Il suivra un cours de cuisine l'été prochain.",2
"Je rencontrerai une célébrité la semaine prochaine.",2
"Fui a la tienda ayer.",0
"Ella había terminado su tarea anoche.",0
"Vieron una película el fin de semana pasado.",0
"Visitamos el museo el mes pasado.",0
"Él cocinó la cena ayer por la tarde.",0
"Los niños jugaron en el parque ayer.",0
"Escribió una carta la semana pasada.",0
"Viajaron a París el verano pasado.",0
"Perdí mis llaves ayer.",0
"Él pintó la casa el año pasado.",0
"El profesor explicó la lección ayer.",0
"Pasamos un buen rato en la fiesta anoche.",0
"La conocí en el aeropuerto el viernes pasado.",0
"Corrió cinco kilómetros ayer.",0
"Celebraron su aniversario el mes pasado.",0
"Él reparó el coche el fin de semana pasado.",0
"Cenamos en un nuevo restaurante anoche.",0
"Leí un libro fascinante la semana pasada.",0
"Visité a mis abuelos el verano pasado.",0
"Se graduaron de la universidad el año pasado.",0
"Compró un teléfono nuevo el mes pasado.",0
"Fuimos de excursión el sábado pasado.",0
"Limpié la casa el miércoles pasado.",0
"Asistieron a un concierto anoche.",0
"Hizo un pastel para su cumpleaños la semana pasada.",0
"Vi un documental ayer.",0
"Obtuvo una promoción el mes pasado.",0
"Almorzaron juntos el viernes pasado.",0
"Aprendió a nadar el verano pasado.",0
"Nos alojamos en una cabaña acogedora este invierno.",0
"Se divirtió mucho en la conferencia el año pasado.",0
"Exploraron la ciudad el fin de semana pasado.",0
"Escribió una novela el año pasado.",0
"Hicimos una barbacoa el sábado pasado.",0
"Visitó a su prima el mes pasado.",0
"Vieron una estrella fugaz anoche.",0
"Organizó un evento benéfico el año pasado.",0
"Jugamos a juegos de mesa el domingo pasado.",0
"Asistió a un taller la semana pasada.",0
"Pasaron el día en la playa el verano pasado.",0
"Construyó una casa en el árbol el otoño pasado.",0
"Vi una película con amigos la semana pasada.",0
"Asistió a una boda el fin de semana pasado.",0
"Disfrutaron de una escapada de fin de semana el mes pasado.",0
"Reparó la bicicleta el domingo pasado.",0
"Celebraremos la víspera de Año Nuevo el año que viene.",0
"Completó su proyecto anoche.",0
"Viajaron a Italia la primavera pasada.",0
"Tomó un curso de cocina el verano pasado.",0
"Conocí a una celebridad la semana pasada.",0
"Estoy caminando a la tienda ahora.",1
"Está terminando su tarea.",1
"Están viendo una película.",1
"Estamos visitando el museo hoy.",1
"Está preparando la cena.",1
"Los niños están jugando en el parque.",1
"Está escribiendo una carta.",1
"Están viajando a París.",1
"Estoy buscando mis llaves.",1
"Está pintando la casa.",1
"El profesor está explicando la lección.",1
"Estamos pasando un buen rato en la fiesta.",1
"Estoy encontrándome con ella en el aeropuerto.",1
"Está corriendo cinco kilómetros.",1
"Están celebrando su aniversario.",1
"Está reparando el coche.",1
"Estamos cenando en un nuevo restaurante.",1
"Está leyendo un libro fascinante.",1
"Estoy visitando a mis abuelos.",1
"Están graduándose de la universidad.",1
"Está comprando un teléfono nuevo.",1
"Vamos de excursión.",1
"Está limpiando la casa.",1
"Están asistiendo a un concierto.",1
"Está haciendo un pastel.",1
"Estoy viendo un documental.",1
"Está obteniendo una promoción.",1
"Están almorzando juntos.",1
"Está aprendiendo a nadar.",1
"Estamos alojándonos en una cabaña acogedora.",1
"Está divirtiéndose mucho en la conferencia.",1
"Están explorando la ciudad.",1
"Está escribiendo una novela.",1
"Estamos haciendo una barbacoa.",1
"Está visitando a su prima.",1
"Están mirando las estrellas.",1
"Está organizando un evento benéfico.",1
"Estamos jugando a juegos de mesa.",1
"Está asistiendo a un taller.",1
"Están pasando el día en la playa.",1
"Está construyendo una casa en el árbol.",1
"Estoy viendo una película con amigos.",1
"Está asistiendo a una boda.",1
"Están disfrutando de una escapada de fin de semana.",1
"Está reparando la bicicleta.",1
"Estamos celebrando la víspera de Año Nuevo.",1
"Está completando su proyecto.",1
"Están viajando a Italia.",1
"Está tomando un curso de cocina.",1
"Estoy conociendo a una celebridad.",1
"Caminaré a la tienda mañana.",2
"Terminará su tarea esta noche.",2
"Verán una película el fin de semana que viene.",2
"Visitaremos el museo el mes que viene.",2
"Preparará la cena mañana por la tarde.",2
"Los niños jugarán en el parque mañana.",2
"Escribirá una carta la semana que viene.",2
"Viajarán a París el verano que viene.",2
"Encontraré mis llaves mañana.",2
"Pintará la casa el año que viene.",2
"El profesor explicará la lección mañana.",2
"Pasaremos un buen rato en la fiesta el sábado que viene.",2
"Me encontraré con ella en el aeropuerto el viernes que viene.",2
"Correrá cinco kilómetros mañana.",2
"Celebrarán su aniversario el mes que viene.",2
"Reparará el coche el fin de semana que viene.",2
"Cenaremos en un nuevo restaurante la noche que viene.",2
"Leerá un libro fascinante la semana que viene.",2
"Visitaré a mis abuelos el verano que viene.",2
"Se graduarán de la universidad el año que viene.",2
"Comprará un teléfono nuevo el mes que viene.",2
"Iremos de excursión el sábado que viene.",2
"Limpiaremos la casa el miércoles que viene.",2
"Asistirán a un concierto la noche que viene.",2
"Hará un pastel para su cumpleaños la semana que viene.",2
"Veré un documental mañana.",2
"Obtenrá una promoción el mes que viene.",2
"Almorzarán juntos el viernes que viene.",2
"Aprenderá a nadar el verano que viene.",2
"Nos alojaremos en una cabaña acogedora el invierno que viene.",2
"Se divertirá mucho en la conferencia el año que viene.",2
"Explorarán la ciudad el fin de semana que viene.",2
"Escribirá una novela el año que viene.",2
"Haremos una barbacoa el sábado que viene.",2
"Visitará a su prima el mes que viene.",2
"Mirarán las estrellas la noche que viene.",2
"Organizará un evento benéfico el año que viene.",2
"Jugaremos a juegos de mesa el domingo que viene.",2
"Asistirá a un taller la semana que viene.",2
"Pasarán el día en la playa el verano que viene.",2
"Construirá una casa en el árbol el otoño que viene.",2
"Veré una película con amigos la semana que viene.",2
"Asistirá a una boda el fin de semana que viene.",2
"Disfrutarán de una escapada de fin de semana el mes que viene.",2
"Reparará la bicicleta el domingo que viene.",2
"Celebramos la víspera de Año Nuevo el año que viene.",2
"Completaré su proyecto esta noche.",2
"Viajarán a Italia la primavera que viene.",2
"Tomará un curso de cocina el verano que viene.",2
"Conoceré a una celebridad la semana que viene.",2
"I walked to the store yesterday.",0
"She had finished her homework last night.",0
"They saw a movie last weekend.",0
"We visited the museum last month.",0
"He cooked dinner yesterday evening.",0
"The kids played in the park yesterday.",0
"She wrote a letter last week.",0
"They traveled to Paris last summer.",0
"I lost my keys yesterday.",0
"He painted the house last year.",0
"The teacher explained the lesson yesterday.",0
"We had a great time at the party last night.",0
"I met her at the airport last Friday.",0
"She ran five miles yesterday.",0
"They celebrated their anniversary last month.",0
"He fixed the car last weekend.",0
"We ate at a new restaurant last night.",0
"She read a fascinating book last week.",0
"I visited my grandparents last summer.",0
"They graduated from college last year.",0
"He bought a new phone last month.",0
"We went hiking last Saturday.",0
"She cleaned the house last Wednesday.",0
"They attended a concert last night.",0
"He made a cake for her birthday last week.",0
"I watched a documentary yesterday.",0
"She got a promotion last month.",0
"They had lunch together last Friday.",0
"He learned to swim last summer.",0
"We stayed at a cozy cabin last winter.",0
"She had a great time at the conference last year.",0
"They explored the city last weekend.",0
"He wrote a novel last year.",0
"We had a barbecue last Saturday.",0
"She visited her cousin last month.",0
"They saw a shooting star last night.",0
"He organized a charity event last year.",0
"We played board games last Sunday.",0
"She attended a workshop last week.",0
"They spent the day at the beach last summer.",0
"He built a treehouse last fall.",0
"I watched a movie with friends last week.",0
"She attended a wedding last weekend.",0
"They enjoyed a weekend getaway last month.",0
"He repaired the bike last Sunday.",0
"We celebrated New Year's Eve last year.",0
"She completed her project last night.",0
"They traveled to Italy last spring.",0
"He took a cooking class last summer.",0
"I met a celebrity last week.",0
"She had just left when I arrived.",0
"They had been waiting for hours before the bus arrived.",0
"She had never seen the ocean before that trip.",0
"We had already eaten when they showed up.",0
"He had written three chapters before he stopped.",0
"I had called her several times before she answered.",0
"By the time we got there, the movie had started.",0
"They had been studying for the exam all week.",0
"He had never been so excited before.",0
"We had planned the trip months in advance.",0
"She had lost her wallet by the time she reached the store.",0
"I had finished the book before the meeting.",0
"They had been friends since childhood.",0
"She had always dreamed of becoming a pilot.",0
"He had cleaned the garage before the guests arrived.",0
"I had never been to that restaurant before.",0
"They had completed their tasks by the end of the day.",0
"He had worked at the company for ten years before he retired.",0
"We had rehearsed the play multiple times.",0
"She had bought the tickets weeks ago.",0
"They had visited the museum before it closed.",0
"He had left the office before the storm started.",0
"I had met him before the conference last year.",0
"We had already seen that movie before.",0
"She had taught at the school for five years before moving.",0
"They had invited everyone to the party.",0
"He had saved enough money to buy the car.",0
"She had spent the whole day shopping.",0
"They had been planning the event for months.",0
"He had finished his presentation before the deadline.",0
"I had read the entire book by the end of the weekend.",0
"She had traveled to many countries before.",0
"They had stayed at that hotel before.",0
"By the time we arrived, they had already left.",0
"He had run a marathon before he turned thirty.",0
"I had learned the recipe from my grandmother.",0
"We had visited that city before our trip last year.",0
"She had cooked dinner before the guests arrived.",0
"They had been to that restaurant several times.",0
"He had painted the room before we moved in.",0
"I had given the speech at the conference.",0
"She had walked the dog before it rained.",0
"They had known each other for years before the wedding.",0
"He had planned a surprise party for her.",0
"She had attended several workshops before.",0
"They had explored the old town before it got dark.",0
"He had finished his shift before noon.",0
"I had heard that song before the concert.",0
"We had visited the park many times before.",0
"She had met her idol during a book signing.",0
"They had arranged the furniture before the guests came.",0
"He had traveled to Japan before moving there.",0
"I had cooked breakfast before everyone woke up.",0
"She had taken piano lessons as a child.",0
"They had returned from their vacation by the time we met.",0
"He had never seen such a beautiful sunset before.",0
"She had always wanted to visit Australia.",0
"We had cleaned the house before the inspection.",0
"By the time I called her, she had already left.",0
"She has just arrived at the airport.",1
"They are currently watching a movie.",1
"He is writing a new novel.",1
"We are visiting the museum today.",1
"She is cooking dinner right now.",1
"The kids are playing in the backyard.",1
"He is fixing the car at the moment.",1
"I am looking for my keys.",1
"We are having lunch at a new restaurant.",1
"She is reading a book on the couch.",1
"They are celebrating their anniversary this week.",1
"She is taking a photography class this semester.",1
"He is learning to play the guitar.",1
"We are planning a trip for next month.",1
"She is doing yoga in the living room.",1
"They are having a barbecue in the backyard.",1
"He is organizing a charity event this weekend.",1
"We are going hiking this Saturday.",1
"She is attending a conference today.",1
"They are painting the house this week.",1
"I am meeting with a friend for coffee.",1
"She is working on a new project.",1
"They are exploring the city this afternoon.",1
"He is cooking breakfast for the family.",1
"We are staying at a cabin for the weekend.",1
"She is visiting her cousin this month.",1
"They are preparing for their exams.",1
"He is building a new bookshelf.",1
"We are celebrating my birthday this Friday.",1
"She is studying for her final exams.",1
"They are planning a weekend getaway.",1
"He is repairing the bike today.",1
"I am watching a documentary on TV.",1
"She is working on her thesis.",1
"They are attending a wedding next weekend.",1
"He is traveling to New York next month.",1
"We are going to the beach tomorrow.",1
"She is organizing her office today.",1
"They are playing board games tonight.",1
"He is taking a break right now.",1
"I am catching up on some reading.",1
"She is enjoying a spa day today.",1
"They are moving to a new house next week.",1
"He is finishing his presentation now.",1
"We are decorating the house for the party.",1
"She is learning Spanish this year.",1
"They are having dinner with friends tonight.",1
"He is finishing his shift at work.",1
"I am calling my family this evening.",1
"She is visiting a museum today.",1
"They are hosting a dinner party this weekend.",1
"He is studying for a big test tomorrow.",1
"We are enjoying a movie night at home.",1
"She is participating in a marathon next month.",1
"They are working on their garden today.",1
"He is writing an email to his manager.",1
"I will walk to the store tomorrow.",2
"She will finish her homework tonight.",2
"They will watch a movie next weekend.",2
"We will visit the museum next month.",2
"He will cook dinner tomorrow evening.",2
"The kids will play in the park tomorrow.",2
"She will write a letter next week.",2
"They will travel to Paris next summer.",2
"I will find my keys tomorrow.",2
"He will paint the house next year.",2
"The teacher will explain the lesson tomorrow.",2
"We will have a great time at the party next Saturday.",2
"I will meet her at the airport next Friday.",2
"She will run five miles tomorrow.",2
"They will celebrate their anniversary next month.",2
"He will fix the car next weekend.",2
"We will eat at a new restaurant next night.",2
"She will read a fascinating book next week.",2
"I will visit my grandparents next summer.",2
"They will graduate from college next year.",2
"He will buy a new phone next month.",2
"We will go hiking next Saturday.",2
"She will clean the house next Wednesday.",2
"They will attend a concert next night.",2
"He will make a cake for her birthday next week.",2
"I will watch a documentary tomorrow.",2
"She will get a promotion next month.",2
"They will have lunch together next Friday.",2
"He will learn to swim next summer.",2
"We will stay at a cozy cabin next winter.",2
"She will have a great time at the conference next year.",2
"They will explore the city next weekend.",2
"He will write a novel next year.",2
"We will have a barbecue next Saturday.",2
"She will visit her cousin next month.",2
"They will see a shooting star next night.",2
"He will organize a charity event next year.",2
"We will play board games next Sunday.",2
"She will attend a workshop next week.",2
"They will spend the day at the beach next summer.",2
"He will build a treehouse next fall.",2
"I will watch a movie with friends next week.",2
"She will attend a wedding next weekend.",2
"They will enjoy a weekend getaway next month.",2
"He will repair the bike next Sunday.",2
"We will celebrate New Year's Eve next year.",2
"She will complete her project tonight.",2
"They will travel to Italy next spring.",2
"He will take a cooking class next summer.",2
"I will meet a celebrity next week.",2
"I walked to the store yesterday.",0
"She finished her homework last night.",0
"They watched a movie last weekend.",0
"We visited the park last month.",0
"He cooked dinner yesterday.",0
"The kids played outside yesterday.",0
"She wrote a letter last week.",0
"They traveled to New York last summer.",0
"I lost my keys yesterday.",0
"He painted the fence last year.",0
"The teacher explained the lesson yesterday.",0
"We had a party last night.",0
"I met her at the mall last Friday.",0
"She ran a mile yesterday.",0
"They celebrated their birthday last month.",0
"He fixed the bike last weekend.",0
"We ate at a new restaurant last night.",0
"She read a book last week.",0
"I visited my aunt last summer.",0
"They graduated last year.",0
"He bought a new laptop last month.",0
"We went for a walk last Saturday.",0
"She cleaned the house last Wednesday.",0
"They went to a concert last night.",0
"He made a cake last week.",0
"I watched TV yesterday.",0
"She got a new job last month.",0
"They had lunch together last Friday.",0
"He learned to cook last summer.",0
"We stayed in a cabin last winter.",0
"She enjoyed the movie last year.",0
"They explored the city last weekend.",0
"He wrote a story last year.",0
"We had a barbecue last Saturday.",0
"She visited her cousin last month.",0
"They saw a shooting star last night.",0
"He organized a game night last year.",0
"We played games last Sunday.",0
"She attended a class last week.",0
"They spent the day at the beach last summer.",0
"He built a birdhouse last fall.",0
"I watched a film with friends last week.",0
"She went to a wedding last weekend.",0
"They had a fun weekend last month.",0
"He repaired the car last Sunday.",0
"We celebrated New Year’s last year.",0
"She finished her project last night.",0
"They went to Italy last spring.",0
